pcod,adm3_sections,est_pop_2020_01,admin3_growth_2020,admin3_growth_2021,admin3_growth_2022,admin3_growth_2023,admin3_growth_2024
HT0111-01,1re Section Turgeau,612590.75,1.0022231,1.0021501,1.002077,1.0020119,1.0019119
HT0111-02,2e Section Morne l'Hôpital,184354.73,1.0021365,1.0020648,1.0019935,1.0019299,1.0018322
HT0111-03,3e Section Martissant,340077.44,1.0022117,1.0021389,1.0020659,1.002001,1.0019014
HT0112-01,1re Section St Martin,455806.81,1.0022308,1.0021576,1.0020843,1.002019,1.0019189
HT0113-01,1re Section Morne Chandelle,984.52716,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-02,2e Section Platon Dufréné,958.19312,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-03,3e Section Taïfer,683.14697,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-04,4e Section Procy,919.4682,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-05,5e Section Coupeau,1187.5637,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-06,6e Section Bouvier,783.43457,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-07,7e Section Lavalle,1320.6184,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-08,8e Section Berly,992.94623,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-09,9e Section Bizoton,50930.879,1.0022103,1.0021374,1.0020645,1.0019996,1.0019001
HT0113-10,10e Section Thor,238755.81,1.0022281,1.0021549,1.0020818,1.0020165,1.0019165
HT0113-11,11e Section Rivière Froide,240098.42,1.0022236,1.0021505,1.0020773,1.0020123,1.0019124
HT0113-12,12e Section Malanga,894.64453,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-13,13e Section Corail Thor,500.44489,.99921328,.99918807,.99917966,.99916279,.9991433
HT0114-01,1re Section Montagne Noire,26543.699,1.0019398,1.0018712,1.0018041,1.0017436,1.0016513
HT0114-02,2e Section Aux Cadets,1593.6787,.99921328,.99918807,.99917966,.99916279,.9991433
